id,attention,progress-belief,mechanism_open-ended,charity-choice - Selected Choice,charity-choice - None of these (please enter a charity of your choice) - Text,donation-amount,donation-binary,humanprogress1,humanprogress2,humanprogress3,humanprogress4,inevitableprogress1,inevitableprogress2,inevitableprogress3,inevitableprogress4,humanprogress.mean,inevitableprogress.mean,donation-openended,gender - Selected Choice,gender - Prefer to self-identify: - Text,politics - Selected Choice,politics - Other - Text,age,religion,country,"Are you of Spanish, Hispanic, or Latino origin?",What is your race? Select all that apply. - Selected Choice,l-human-action,c-human-action,l-inevitable,c-inevitable,l-action-as-cause,c-action-as-cause,l-belief-as-cause,c-belief-as-cause,l-self-reference,c-self-reference
253,instructions,No,"Morals havent not advanced that actually, thanks to technology, have went backwards.  Akin to an alcoholic who is always, and will always be, an alcholic where the next drink doesn't exist then place him in a tavern.  Same thing.  I think when humans can commit abortion on a whim (as a form of birth control) and has access to all things that are vile, and lewd (via the Internet) we have not progressed.  I cannot answer this question because I do not believe morality is fluid.  It is set in stone and you are either moral or you are not.  There is no little pregnant when dealing with morals.  

The only way I can see how moral progression can occur is to balkenize and the ones with my moral beliefs form a community, and the ones with yours forms theirs, etc...  Apparently, there is no one true moral we all adhere to, and that being the case we cannot morally progress.",None of these (please enter a charity of your choice),Red Cross,0,0,7,4,1,7,1,1,1,1,4.75,1,They helped me once.,Man,,Moderate,,39,Agnosticism,United States of America,Yes,White,1,0,0,0,1,0,0,0,0,0
279,instructions,No,"I see morality regressing overall.  However, moral progress can occur when people return to the reality of who they are, why they are here walking around (alive), and who it is that created them and established morality.  When people focus their attention on the personal letter written to them, known as the Bible, and who study to show themselves approved, rightly dividing the Word through prayer and study, and following the laws given and examples set, then that society will be blessed by God and morality will have progressed.  The fake morality of the world is not morality.",None of these (please enter a charity of your choice),The Salvation Army,2,1,7,4,1,7,1,1,1,1,4.75,1,Because I feel good about giving 10%.,Man,,Conservative,,48,Non-denominational Christianity,United States of America,No,White,1,1,0,0,1,1,0,0,0,0
259,instructions,No,"Moral progress happens when people become more aware and empathetic, learning from past mistakes and working together to create a fairer and more just society. It's about educating ourselves, changing outdated norms, and standing up against injustice. But it's an ongoing journey that needs everyone's commitment to make a real difference.",None of these (please enter a charity of your choice),Gun Owners of America,20,1,7,5,5,7,1,2,1,1,6,1.25,"I chose to donate $20 because that was all that I was able to. It is a cause that I feel passionately about and feel they are an important cause,",Man,,Very conservative,,48,Other,United States of America,No,White,0,0,0,0,0,0,0,1,0,0
14,instructions,Not sure,"Moral progress can only occur through development of critical thinking skills and a willingness to question authority. So many moral wrongs have occurred simply because no one bothered to ask 'why'. ""Why do we enslave people of African descent?"" ""Because they're inferior, and besides, we've always done it."" Those kinds of answers don't hold up when you peel back the onion and push back. So, continue to educate the masses, encourage them to ask why, question things. But there's a backlash, always when progress happens. Therefore, I'm not sure I have hope of continued progress when it's two steps forward, and at least one step back, if not more. Sad question, really.",Palestine Children’s Relief Fund,,10,1,7,7,7,7,1,2,1,1,7,1.25,"I do surveys in order to make money, so I want to keep some of the income for myself. However, I am appalled by the reckless disregard of life in Israel's war against Hamas. Yes, Hamas attacked first and also had reckless disregard of life, but Israel's response has been depraved, and children have been slaughtered disproportionately to the Hamas attacks. There is no life that is worth more than someone else's. I would choose to preserve the lives of Palestinian children in whatever small way I can, at this particular point of time. This does not negate the other worthy causes that were listed. ",Woman,,Very liberal,,40,Non-denominational Christianity,United States of America,No,Black,1,1,0,0,1,1,0,0,0,0
221,instructions,No,we must overcome a;; isms. People need to change,None of these (please enter a charity of your choice),Nature Conservancy,20,1,7,4,5,6,1,2,1,1,5.5,1.25,we must protect nature or we all die,Woman,,Very liberal,,60,Atheism,United States of America,No,White,1,1,0,0,1,1,0,0,0,0
192,instructions,No,"Moral progress can occur with comprehensive and indiscriminate education about cooperation, if it takes place consistently over decades.",Abortion Care Network,,20,1,6,7,5,4,1,4,1,1,5.5,1.75,"I felt like the highest amount, which wasn't much at all, was the most appropriate due to how beneficial it could be.",Man,,Liberal,,34,Agnosticism,United States of America,No,White,1,1,0,0,1,1,0,1,0,0
206,instructions,No,"Moral progress occurs when generational beliefs are challenged and someone stops the cycle of immoral patterns. This, in theory, happens very slowly over time but I actually don't believe it's currently happening on a wide scale.",A Bond of Love Adoption Agency Inc.,,0,0,7,6,2,5,2,3,2,1,5,2,It's a large enough amount that it could make a difference over repeated donations but not so large that I'll notice it leaving my bank account. It's about what getting a coffee out costs.,Woman,,Moderate,,27,Jehovah's Witness,United States of America,No,"White,Black",1,0,0,0,1,1,0,0,0,0
59,instructions,No,"I feel there has been a decline in moral progress, but if I had to select something to show moral progress, I guess I would say the recent act of cutting back on abortions. Allowing more babies to live is definitely progress.",IsraAid US Inc. (aid for Israel),,10,1,7,4,5,7,1,2,2,3,5.75,2,It is morally right to help other people.,Woman,,Conservative,,58,Non-denominational Christianity,United States of America,No,White,0,0,0,0,0,0,0,0,0,0
4,instructions,No,"I think we learn over time that some things are wrong, and as those issues come to light we do better. For example, medical testing on black people - clearly wrong, and hopefully no longer happening. ",Hope for Ukraine Inc.,,0,0,6,6,3,6,2,2,2,2,5.25,2,I donate outside of Prolific - the money I earn on here is for a specific purpose. ,Woman,,Conservative,,42,Baptist,United States of America,No,White,1,1,0,0,1,1,0,0,0,0
23,instructions,Not sure,"I think that morality and progress are both relative.  What is moral to one culture or generation is abominable to another.  Progress to one person is regression to another.  For instance, the abolishment of ritualistic cannibalism in certain peoples could be seen by some as moral progress, but to others it might be seen as the loss of a culturally significant tradition.  In other words, I think that progress of any kind is simply in the eye of the beholder.",None of these (please enter a charity of your choice),Nature Conservancy,0,0,5,5,5,5,2,2,2,2,5,2,I already donate individually.,Man,,Liberal,,46,Atheism,United States of America,No,White,1,1,0,0,1,1,0,0,0,0
86,instructions,No,"Moral progress can occur when all people beleive in the same God, until that happens there will not be any moral progress.",Hope for Ukraine Inc.,,0,0,6,4,2,2,2,2,2,2,3.5,2,In Biden's economic recovery I can not afford to donate to charity.,Man,,Conservative,,50,Baptist,United States of America,No,Black,1,1,0,0,1,1,0,0,0,0
163,instructions,No,"I believe that moral progress can occur by first raising children up in the Lord teaching them the scriptures correctly. I believe that once children have that as their foundation, that they will never depart from it as old as they get.",IsraAid US Inc. (aid for Israel),,11,1,7,6,4,5,1,1,1,5,5.5,2,11 is my favorite number.,Woman,,Very conservative,,28,Other,United States of America,Yes,Native Hawaiian or Other Pacific Islander,1,1,0,0,1,1,1,0,0,0
83,instructions,No,Moral progress occurs when we weigh instances and circumstances from our shared history and apply what we learned from the benefit of hindsight and time and perspective to change the course of the future and ensure that human-caused atrocities can be avoided and hopefully eliminated in future civilizations. ,Palestine Children’s Relief Fund,,20,1,6,6,5,6,2,2,2,2,5.75,2,Because the Palestinians are being murdered in a violent Zionist genocide currently. We watch it every day on our phones and the suffering and murder of children is ignored. The whole world is watching. I am physically sick to see what has been done to these people in the name of Zionism. ,Man,,Very liberal,,44,Atheism,United States of America,No,White,0,1,1,0,0,0,0,0,0,0
174,instructions,Yes,"Moral progress can occur through a combination of factors such as education, cultural evolution, empathy, and reflection on ethical principles. Concrete examples of moral progress include the abolition of slavery, the advancement of civil rights movements, and the recognition of the rights of marginalized groups. These changes often result from increased awareness, changing social norms, and collective efforts to promote justice and equality.",Palestine Children’s Relief Fund,,20,1,7,7,7,5,1,2,2,3,6.5,2,It wasn't my money to give.,Man,,Very liberal,,,,United States of America,No,White,1,1,1,1,1,0,1,1,0,0
41,instructions,No,"If we started to see less deaths from wars and less slavery, one could argue that at least regarding outcomes, the earth is getting more moral. Moral progress will never occur though.",None of these (please enter a charity of your choice),local food bank,0,0,2,1,1,1,1,1,1,6,1.25,2.25,"Because I wrote in the 'other' box, so there isn't a way the money would get to them",Man,,Moderate,,30,Non-denominational Christianity,United States of America,No,White,0,0,1,1,0,0,0,0,0,0
33,instructions,No,"We need to get back to living simpler lives and raising children to be hard working and obedient children.  Since all of society is now enslaved and working harder than ever before to try to make ends meet, there is a lot of chaos and stress.  Furthermore, media programs people to believe what they want us to believe, and nobody is researching for TRUTH.  We need to fire all media, get rid of social media and cell phones, and go back to living simple lives, no chaos or stress, and raising our own food.  We start this by firing our government, abolishing the IRS, Federal Reserve and Central Bank.  The citizens have the power to do this and we need to take our power back.  Because the world is such a mess now, all by design, everything starts with massive deportation and very tough laws on crime.",None of these (please enter a charity of your choice),all charities are corrupt and the money goes to the elites,0,0,6,7,1,6,1,6,1,1,5,2.25,"charities are 100% corrupt and the money is given to the elites.  I've done a lot of research on this including Red Cross, St Jude, Cancer research, American Heart Assoc, etc.  FILTHY corrupt.",Woman,,Very conservative,,60,Non-denominational Christianity,United States of America,No,White,1,1,0,0,1,1,0,0,0,0
